Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-22T09:12:26.236Z","Included","claude-4.5-opus-high-thinking","No","2448","740","389066","617","392871","Included"
"2026-01-22T09:11:34.759Z","Included","claude-4.5-opus-high-thinking","No","84909","758","577220","2177","665064","Included"
"2026-01-22T09:07:13.058Z","Included","claude-4.5-opus-high-thinking","No","15186","395","1016783","6829","1039193","Included"
"2026-01-22T09:03:27.678Z","Included","claude-4.5-opus-high-thinking","No","8847","174","363077","2439","374537","Included"
"2026-01-22T09:02:54.981Z","Included","claude-4.5-opus-high-thinking","No","59430","185","81213","656","141484","Included"
"2026-01-22T08:57:09.283Z","Included","claude-4.5-opus-high-thinking","No","8539","409","910698","3319","922965","Included"
"2026-01-22T08:54:44.224Z","Included","claude-4.5-opus-high-thinking","No","49560","62","572207","9034","630863","Included"
"2026-01-22T08:04:13.633Z","Included","claude-4.5-opus-high-thinking","No","2355","828","174539","809","178531","Included"
"2026-01-22T08:00:41.935Z","Included","claude-4.5-opus-high-thinking","No","203359","2000","597907","8932","812198","Included"
"2026-01-22T07:59:09.480Z","Included","auto","No","2785","0","386816","925","390526","Included"
"2026-01-22T07:56:37.449Z","Included","auto","No","6626","0","369152","1216","376994","Included"
"2026-01-22T07:54:59.499Z","Included","auto","No","3679","0","358656","1807","364142","Included"
"2026-01-22T07:44:27.823Z","Included","auto","No","112653","0","355840","1517","470010","Included"
"2026-01-22T07:20:29.737Z","Included","claude-4.5-opus-high-thinking","No","31017","1118","1373734","13026","1418895","Included"
"2026-01-22T07:13:45.191Z","Included","claude-4.5-opus-high-thinking","No","104110","807","830587","19053","954557","Included"
"2026-01-22T07:07:28.496Z","Included","claude-4.5-opus-high-thinking","No","11513","396","294953","728","307590","Included"
"2026-01-22T06:59:22.275Z","Included","claude-4.5-opus-high-thinking","No","56587","5910","589251","21662","673410","Included"
"2026-01-21T08:48:33.553Z","Included","claude-4.5-opus-high-thinking","No","87469","134718","1467334","22404","1711925","Included"
"2026-01-21T07:10:58.458Z","Included","auto","No","28339","0","134656","1335","164330","Included"
"2026-01-21T06:57:47.031Z","Included","auto","No","5878","0","594688","1223","601789","Included"
"2026-01-21T06:51:29.344Z","Included","auto","No","8113","0","454656","553","463322","Included"
"2026-01-21T06:41:10.123Z","Included","auto","No","108580","2632","415647","3897","530756","Included"
"2026-01-21T06:32:45.097Z","Included","auto","No","102680","0","113664","621","216965","Included"
"2026-01-21T06:26:41.483Z","Included","auto","No","2102","2684","497342","601","502729","Included"
"2026-01-21T06:21:45.721Z","Included","auto","No","98920","72317","318808","1304","491349","Included"
"2026-01-21T06:14:04.389Z","Included","claude-4.5-opus-high-thinking","No","3184","407","547392","1709","552692","Included"
"2026-01-21T06:12:02.095Z","Included","claude-4.5-opus-high-thinking","No","7241","732","657531","4120","669624","Included"
"2026-01-21T06:07:17.143Z","Included","claude-4.5-opus-high-thinking","No","2147","342","252752","1396","256637","Included"
"2026-01-21T06:06:05.828Z","Included","claude-4.5-opus-high-thinking","No","7561","449","486491","4551","499052","Included"
"2026-01-21T06:01:35.523Z","Included","claude-4.5-opus-high-thinking","No","107205","1021","1060536","17756","1186518","Included"
"2026-01-21T05:32:57.314Z","Included","auto","No","5755","4158","351053","1617","362583","Included"
"2026-01-21T05:29:41.731Z","Included","auto","No","53494","0","59136","569","113199","Included"
"2026-01-21T05:26:25.731Z","Included","auto","No","30653","54347","198816","1224","285040","Included"
"2026-01-21T05:25:28.998Z","Included","claude-4.5-opus-high-thinking","No","5252","1125","216910","1903","225190","Included"
"2026-01-21T05:18:27.628Z","Included","claude-4.5-opus-high-thinking","No","58982","866","634192","11070","705110","Included"
"2026-01-21T05:13:03.763Z","Included","auto","No","21123","2046","67900","1556","92625","Included"
"2026-01-21T05:08:42.605Z","Included","auto","No","8750","0","1656064","6233","1671047","Included"
"2026-01-21T05:07:03.928Z","Included","auto","No","3800","0","892416","2547","898763","Included"
"2026-01-21T05:05:31.789Z","Included","auto","No","5661","0","1577216","1655","1584532","Included"
"2026-01-21T05:03:27.445Z","Included","auto","No","90154","11832","941312","11984","1055282","Included"
"2026-01-21T04:37:28.752Z","Included","auto","No","142240","0","7175168","31349","7348757","Included"
"2026-01-21T04:18:14.336Z","Included","auto","No","1714","0","92672","375","94761","Included"
"2026-01-21T04:17:31.550Z","Included","auto","No","2984","0","115712","1447","120143","Included"
"2026-01-21T04:15:27.061Z","Included","auto","No","23263","0","147200","2156","172619","Included"
"2026-01-21T02:18:50.248Z","Included","claude-4.5-opus-high-thinking","No","91750","582","2802332","11718","2906382","Included"
"2026-01-20T08:32:49.109Z","Included","claude-4.5-opus-high-thinking","No","32356","522","7763","536","41177","Included"
"2026-01-20T08:25:53.783Z","Included","claude-4.5-opus-high-thinking","No","190394","764","899921","4191","1095270","Included"
"2026-01-20T07:48:38.901Z","Included","claude-4.5-opus-high-thinking","No","12592","8318","953768","3925","978603","Included"
"2026-01-20T07:44:18.099Z","Included","claude-4.5-opus-high-thinking","No","9792","4998","432600","2954","450344","Included"
